"","num","cc","subversion","HR","IR","GE","PR","WI"
"133","4","MA",1,"MAHR43FL.dta","MAIR43FL.dta","MAGE43FL.shp","MAPR43FL.dta",NA
"134","4","MD",1,"MDHR42FL.DTA","MDIR42FL.DTA",NA,"MDPR42FL.DTA",NA
"135","4","MG",1,"MGHR42FL.DTA","MGIR42FL.DTA",NA,NA,NA
"136","4","MH",1,"MHHR42FL.DTA","MHIR42FL.DTA",NA,NA,NA
"137","4","ML",1,"MLHR41FL.DTA","MLIR41FL.DTA","MLGE42FL.shp","MLPR41FL.DTA","MLwi42fl.dta"
"138","4","MN",1,"MNHR42FL.DTA","MNIR42FL.DTA",NA,NA,NA
"139","4","MP",1,"MPHR42FL.DTA","MPIR42FL.DTA",NA,NA,NA
"140","4","MW",1,"MWHR41FL.DTA","MWIR41FL.DTA","MWGE43FL.shp","MWPR41FL.DTA","MWwi42fl.dta"
"141","4","MW",2,"MWHR4EFL.DTA","MWIR4EFL.DTA","MWGE4BFL.shp","MWPR4EFL.DTA",NA
"142","4","MZ",1,"MZHR42FL.DTA","MZIR42FL.DTA",NA,"MZPR41FL.DTA",NA
"143","4","NA",1,"NAHR42FL.DTA","NAIR42FL.DTA",NA,NA,NA
"144","4","NC",1,"NCHR41FL.DTA","NCIR41FL.DTA",NA,"NCPR41FL.DTA","NCWI41FL.DTA"
"145","4","NG",2,"NGHR4BFL.DTA","NGIR4BFL.DTA","NGGE4BFL.shp","NGPR4CFL.DTA",NA
"146","4","NM",1,"NMHR41FL.DTA","NMIR41FL.DTA","NMGE42FL.shp","NMPR41FL.DTA","NMWI41FL.DTA"
"147","4","NP",1,"NPHR41FL.DTA","NPIR41FL.DTA","NPGE42FL.shp","NPPR41FL.DTA","NPWI41FL.DTA"
"148","4","OR",1,"ORHR42FL.DTA","ORIR42FL.DTA",NA,NA,NA
"149","4","PE",1,"PEHR41FL.DTA","PEIR41FL.DTA","PEGE44FL.shp","PEPR41FL.DTA","PEWI41FL.DTA"
"150","4","PH",1,"PHHR41FL.DTA","PHIR41FL.DTA","PHGE43FL.shp","PHPR41FL.DTA",NA
"151","4","PJ",1,"PJHR42FL.DTA","PJIR42FL.DTA",NA,NA,NA
"152","4","RJ",1,"RJHR42FL.DTA","RJIR42FL.DTA",NA,NA,NA
"153","4","RW",1,"RWHR41FL.DTA","RWIR41FL.DTA",NA,"RWPR41FL.DTA","RWwi42fl.dta"
"154","4","SK",1,"SKHR42FL.DTA","SKIR42FL.DTA",NA,NA,NA
"155","4","SN",2,"SNHR4AFL.DTA","SNIR4AFL.DTA","SNGE4BFL.shp","SNPR4AFL.DTA",NA
"156","4","TD",1,"TDHR41FL.DTA","TDIR41FL.DTA",NA,"TDPR41FL.DTA",NA
"157","4","TN",1,"TNHR42FL.DTA","TNIR42FL.DTA",NA,NA,NA
"158","4","TR",1,"TRHR42FL.DTA","TRIR42FL.DTA",NA,"TRPR41FL.DTA","TRWI41FL.DTA"
"159","4","TR",2,"TRHR4AFL.DTA","TRIR4AFL.DTA",NA,"TRPR4AFL.DTA",NA
"160","4","TZ",1,"TZHR41FL.DTA","TZIR41FL.DTA","TZGE43FL.shp","TZPR41FL.DTA","TZWI41FL.DTA"
"161","4","TZ",2,"tzhr4afl.dta","tzir4afl.dta","TZGE4CFL.shp","tzpr4afl.dta",NA
"162","4","TZ",3,"TZHR4IFL.DTA","TZIR4IFL.DTA",NA,"TZPR4IFL.DTA",NA
"163","4","UG",1,"UGHR41FL.DTA","UGIR41FL.DTA","UGGE43FL.shp","UGPR41FL.DTA","UGWI41FL.DTA"
"164","4","UP",1,"UPHR42FL.DTA","UPIR42FL.DTA",NA,NA,NA
"165","4","UZ",1,NA,NA,"UZGE42FL.shp",NA,NA
"166","4","VN",1,"VNHR41FL.DTA","VNIR41FL.DTA",NA,"VNPR41FL.DTA","VNWI41FL.DTA"
"167","4","WB",1,"WBHR42FL.DTA","WBIR42FL.DTA",NA,NA,NA
"168","4","ZM",1,"ZMHR42FL.DTA","ZMIR42FL.DTA",NA,"ZMPR43FL.DTA","ZMWI41FL.DTA"
"169","4","ZW",1,"ZWHR42FL.DTA","ZWIR42FL.DTA","ZWGE42FL.shp","ZWPR42FL.DTA","ZWwi42fl.dta"
"170","5","AL",1,"ALHR51FL.DTA","ALIR51FL.DTA","ALGE51FL.shp","ALPR51FL.DTA",NA
"171","5","AM",1,"AMHR54FL.dta","AMIR54FL.dta",NA,"AMPR54FL.dta",NA
"172","5","AO",1,"AOHR51FL.DTA","AOIR51FL.DTA","AOGE52FL.shp","AOPR51FL.DTA",NA
"173","5","AZ",1,"AZHR52FL.DTA","AZIR52FL.DTA",NA,"AZPR52FL.DTA",NA
"174","5","BD",1,"BDHR51FL.DTA","BDIR51FL.DTA","BDGE52FL.shp","BDPR51FL.DTA",NA
"175","5","BJ",1,"BJHR51FL.DTA","BJIR51FL.DTA",NA,"BJPR51FL.DTA",NA
"176","5","BO",1,"BOHR51FL.DTA","BOIR51FL.DTA","BOGE53FL.shp","BOPR51FL.DTA",NA
"177","5","CD",1,"CDHR51FL.DTA","CDIR51FL.DTA","CDGE52FL.shp","CDPR51FL.DTA",NA
"178","5","CG",1,"CGHR51FL.DTA","CGIR51FL.DTA",NA,"CGPR51FL.DTA",NA
"179","5","CG",2,"CGHR5AFL.DTA","CGIR5AFL.DTA",NA,"CGPR5AFL.DTA",NA
"180","5","CI",1,"CIHR51FL.DTA","CIIR51FL.DTA",NA,"CIPR51FL.DTA",NA
"181","5","CO",1,"COHR53FL.DTA","COIR53FL.DTA",NA,"COPR53FL.DTA",NA
"182","5","DR",1,"DRHR52FL.DTA","DRIR52FL.DTA","DRGE52FL.shp","DRPR52FL.DTA",NA
"183","5","DR",2,"DRHR5AFL.DTA","DRIR5AFL.DTA",NA,"DRPR5AFL.DTA",NA
"184","5","EG",1,"EGHR51FL.dta","EGIR51FL.DTA","EGGE52FL.shp","EGPR51FL.dta",NA
"185","5","EG",2,"EGHR5AFL.DTA","EGIR5AFL.DTA","EGGE5DFL.shp","EGPR5AFL.DTA",NA
"186","5","ET",1,"ETHR51FL.DTA","ETIR51FL.DTA","ETGE52FL.shp","ETPR51FL.DTA",NA
"187","5","GH",2,"GHHR5AFL.DTA","GHIR5AFL.DTA","GHGE5AFL.shp","GHPR5AFL.DTA",NA
"188","5","GN",1,"gnhr52fl.dta","gnir52fl.dta","GNGE52FL.shp","GNPR53FL.DTA",NA
"189","5","GY",1,"GYHR51FL.DTA","GYIR51FL.DTA",NA,"GYPR51FL.DTA",NA
"190","5","GY",3,"GYHR5IFL.DTA","GYIR5IFL.DTA","GYGE5JFL.shp","GYPR5IFL.DTA",NA
"191","5","HN",1,"HNHR52FL.DTA","HNIR52FL.DTA",NA,"HNPR52FL.DTA",NA
"192","5","HT",1,"HTHR52FL.DTA","HTIR52FL.DTA","HTGE52FL.shp","HTPR52FL.DTA",NA
"193","5","IA",1,"IAHR52FL.dta","IAIR52FL.dta",NA,"IAPR52FL.DTA",NA
"194","5","ID",1,"IDHR51FL.DTA","IDIR51FL.DTA",NA,"IDPR52FL.DTA",NA
"195","5","JO",1,"JOHR51FL.DTA","JOIR51FL.DTA","JOGE52FL.shp","JOPR51FL.DTA",NA
"196","5","KE",1,"KEHR52FL.DTA","KEIR52FL.DTA","KEGE52FL.shp","KEPR52FL.DTA",NA
"197","5","KH",1,"KHHR51FL.DTA","KHIR51FL.DTA","KHGE51FL.shp","KHPR51FL.DTA",NA
"198","5","LB",1,"LBHR51FL.dta","LBIR51FL.DTA","LBGE52FL.shp","LBPR51FL.dta",NA
"199","5","LB",2,"LBHR5AFL.DTA","LBIR5AFL.DTA","LBGE5CFL.shp","LBPR5AFL.DTA",NA
"200","5","MB",1,"MBHR53FL.DTA","MBIR53FL.DTA","MBGE52FL.shp","MBPR53FL.DTA",NA
"201","5","MD",1,"MDHR51FL.DTA","MDIR51FL.DTA","MDGE53FL.shp","MDPR51FL.DTA",NA
"202","5","ML",1,"MLHR53FL.DTA","MLIR53FL.DTA","MLGE52FL.shp","MLPR53FL.DTA",NA
"203","5","MV",1,"MVHR52FL.DTA","MVIR52FL.DTA",NA,"MVPR52FL.DTA",NA
"204","5","MZ",1,"MZHR51FL.DTA","MZIR51FL.DTA","MZGE52FL.shp","MZPR51FL.DTA",NA
"205","5","NG",1,"NGHR53FL.DTA","NGIR53FL.DTA","NGGE52FL.shp","NGPR53FL.DTA",NA
"206","5","NI",1,"NIHR51FL.DTA","NIIR51FL.DTA",NA,"NIPR51FL.DTA",NA
"207","5","NM",1,"nmhr51fl.dta","nmir51fl.dta","NMGE53FL.shp","NMPR52FL.DTA",NA
"208","5","NP",1,"NPHR51FL.dta","NPIR51FL.dta","NPGE53FL.shp","NPPR51FL.dta",NA
"209","5","PE",1,"PEHR51FL.DTA","PEIR51FL.DTA","PEGE52FL.shp","PEPR51FL.DTA",NA
"210","5","PE",3,"PEHR5IFL.DTA","PEIR5IFL.DTA","PEGE5IFL.shp","PEPR5IFL.DTA",NA
"211","5","PH",1,"PHHR52FL.DTA","PHIR52FL.DTA","PHGE52FL.shp","PHPR52FL.DTA",NA
"212","5","PK",1,"pkhr52fl.dta","pkir52fl.dta","PKGE51FL.shp","PKPR53FL.DTA",NA
"213","5","RW",1,"RWHR53FL.DTA","RWIR53FL.DTA","RWGE54FL.shp","RWPR53FL.DTA",NA
"214","5","RW",2,"RWHR5AFL.DTA","RWIR5AFL.DTA","RWGE5BFL.shp","RWPR5AFL.DTA",NA
"215","5","SL",1,"SLHR51FL.DTA","SLIR51FL.DTA","SLGE53FL.shp","SLPR51FL.DTA",NA
"216","5","SN",1,"SNHR51FL.DTA","SNIR51FL.DTA",NA,"SNPR51FL.DTA",NA
